id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,neighborhood
1,221900,3,1,1180,5650,1,0,0,3,7,1180,0,1955,0,98178,47.5112,-122.257,1340,5650,Greenwood
2,538000,3,2.25,2570,7242,2,0,0,3,7,2170,400,1951,1991,98125,47.7210,-122.319,1690,7639,Northgate
3,180000,2,1,770,10000,1,0,0,3,6,770,0,1933,0,98028,47.7379,-122.233,2720,8062,Kenmore
4,604000,4,3,1960,5000,1,0,0,5,7,1050,910,1965,0,98136,47.5208,-122.393,1360,5000,West Seattle
5,510000,3,2,1680,8080,1,0,0,3,8,1680,0,1987,0,98074,47.6168,-122.045,1800,7503,Sammamish
6,1225000,4,4.5,5420,101930,1,0,0,3,11,3890,1530,2001,0,98053,47.6561,-122.005,4760,101930,Issaquah
7,257500,3,2.25,1715,6819,2,0,0,3,7,1715,0,1995,0,98003,47.3097,-122.327,2238,6819,Federal Way
8,291850,3,1.5,1060,9711,1,0,0,3,7,1060,0,1963,0,98198,47.4095,-122.315,1650,9711,Des Moines
9,229500,3,1,1780,7470,1,0,0,3,7,1050,730,1960,0,98146,47.5123,-122.337,1780,8113,White Center
10,323000,3,2.5,1890,6560,2,0,0,3,7,1890,0,2003,0,98038,47.3684,-122.031,2390,7570,Maple Valley
11,662500,3,2.5,3560,9796,1,0,0,3,8,1860,1700,1965,0,98052,47.6311,-122.031,2440,9796,Redmond
12,468000,2,1,1160,6000,1,0,0,4,7,860,300,1942,0,98115,47.6822,-122.286,1330,6000,Maple Leaf
13,310000,3,2,1430,19900,1,0,0,4,7,1430,0,1927,0,98107,47.6769,-122.377,1430,20000,Ballard
14,400000,3,2.5,2030,8220,2,0,0,3,7,2030,0,2000,0,98103,47.6904,-122.356,2070,8500,Fremont
15,530000,4,2.5,2560,9000,2,0,0,3,8,2560,0,1993,0,98006,47.5668,-122.153,2560,9000,Bellevue
16,650000,4,3,2910,12000,2,0,0,4,9,2910,0,1997,0,98004,47.6063,-122.214,2910,12000,Bellevue
17,395000,3,2.5,1920,8000,2,0,0,3,7,1920,0,1989,0,98033,47.6091,-122.222,1920,8000,Kirkland
18,485000,3,2,2040,9850,2,0,0,3,7,2040,0,1995,0,98034,47.7018,-122.200,2040,9850,North Kirkland
19,189900,2,1,840,4000,1,0,0,4,6,840,0,1955,0,98023,47.3028,-122.356,840,4000,Federal Way
20,230000,3,1,1170,5500,1,0,0,3,7,1170,0,1968,0,98042,47.3639,-122.140,1170,5500,Renton
21,385000,4,2.5,2360,7200,2,0,0,3,8,2360,0,2001,0,98027,47.5261,-122.058,2360,7200,Issaquah
22,1180000,5,4.5,4680,29000,2,1,4,5,11,3040,1640,2002,0,98039,47.6311,-122.241,4680,29000,Medina
23,475000,3,2,1620,6800,1,0,0,3,7,820,800,1920,2002,98117,47.6975,-122.383,1620,6800,Phinney Ridge
24,399950,3,2.5,2100,7600,2,0,0,3,8,2100,0,1999,0,98056,47.4969,-122.151,2100,7600,Renton
25,365000,4,2,2140,9600,1,0,0,3,7,2140,0,1987,0,98108,47.5452,-122.310,2140,9600,Georgetown
26,289000,3,2,1840,9100,1,0,0,3,7,1840,0,1991,0,98002,47.3075,-122.321,1840,9100,Auburn
27,385000,3,2,2360,10000,2,0,0,3,7,2360,0,1982,0,98031,47.4788,-122.198,2360,10000,Renton
28,549000,4,3,2650,8500,2,0,0,4,8,2650,0,1998,0,98029,47.5415,-122.054,2650,8500,Issaquah
29,445000,3,2.5,2380,9200,2,0,0,3,8,2380,0,1994,0,98052,47.6384,-122.055,2380,9200,Redmond
30,250000,3,2,1800,7500,1,0,0,3,7,1800,0,1970,0,98055,47.5694,-122.169,1800,7500,Renton
31,549900,4,3.5,2750,11000,2,0,0,4,9,2750,0,2001,0,98075,47.5849,-122.074,2750,11000,Sammamish
32,399000,3,2,1720,6500,1,0,0,3,7,1080,640,1950,2000,98118,47.5422,-122.276,1720,6500,Columbia City
33,315000,3,2.5,2200,9800,2,0,0,3,7,2200,0,1985,0,98032,47.5059,-122.258,2200,9800,Maple Valley
34,545000,4,2.5,2720,10500,2,0,0,4,8,2720,0,1996,0,98053,47.5489,-122.000,2720,10500,Issaquah
35,760000,4,3,2800,9500,2,0,0,5,9,2800,0,1999,0,98006,47.5734,-122.163,2800,9500,Bellevue
36,425000,3,2.5,2150,7800,2,0,0,3,8,2150,0,1992,0,98034,47.7087,-122.203,2150,7800,North Kirkland
37,425000,3,2.5,1960,6800,1,0,0,3,7,1960,0,1984,0,98105,47.6642,-122.305,1960,6800,University District
38,280000,3,1.5,1680,8800,1,0,0,3,7,1680,0,1960,0,98122,47.6067,-122.293,1680,8800,Capitol Hill
39,210000,2,1,1200,5000,1,0,0,3,6,1200,0,1948,0,98144,47.5841,-122.299,1200,5000,Columbia City
40,570000,4,3,2600,9000,2,0,0,4,8,2600,0,2000,0,98008,47.6102,-122.115,2600,9000,Bellevue
41,685000,4,3.5,3200,12000,2,0,0,4,9,3200,0,2002,0,98005,47.6225,-122.181,3200,12000,Bellevue
42,349000,3,2,1920,8500,2,0,0,3,7,1920,0,1989,0,98033,47.5998,-122.209,1920,8500,Kirkland
43,365000,3,2,2080,9500,1,0,0,3,7,2080,0,1981,0,98055,47.5713,-122.179,2080,9500,Renton
44,585000,4,3,2780,10000,2,0,0,4,9,2780,0,1997,0,98052,47.6328,-122.065,2780,10000,Redmond
45,490000,3,2.5,2240,8800,2,0,0,3,8,2240,0,1994,0,98029,47.5332,-122.064,2240,8800,Issaquah
46,299000,3,2,1620,7200,1,0,0,3,7,1620,0,1975,0,98178,47.5089,-122.257,1620,7200,Greenwood
47,425000,4,2.5,2340,8200,2,0,0,3,8,2340,0,1993,0,98027,47.5214,-122.053,2340,8200,Issaquah
48,339900,3,2,1860,7800,2,0,0,3,7,1860,0,1986,0,98031,47.4792,-122.197,1860,7800,Renton
49,549000,4,3,2710,10500,2,0,0,4,8,2710,0,1998,0,98053,47.5456,-122.008,2710,10500,Issaquah
50,319000,3,2,1880,8600,1,0,0,3,7,1880,0,1978,0,98042,47.3645,-122.138,1880,8600,Renton

